name,artist_name,playcount,listeners
Don't,Bryson Tiller,15236829,1046828
Friends,Chase Atlantic,14179302,920499
Need to Know,Doja Cat,21622094,1340440
Viva la Vida,Coldplay,38552986,3340171
Unconditional,Jade,316103,59741
I Love It (feat. Charli XCX),Icona Pop,10417333,1235408
Save Your Tears,The Weeknd,25018586,1693430
Pink Matter,Frank Ocean,17804461,1146723
my tears ricochet,Taylor Swift,28125626,973460
Will I See You Again?,Thee Sacred Souls,4885755,643366
bad idea right?,Olivia Rodrigo,22999577,1107714
Aquamarine,Addison Rae,8732537,477205
Good Days,SZA,24319166,1398172
Don't You Worry Baby (feat. Madison McFerrin),"Tyler, The Creator",2229316,394707
Is There Someone Else?,The Weeknd,18984388,1118813
Nude,Radiohead,26671137,1874218
Woman,Doja Cat,23071626,1544925
That's What I Like,Bruno Mars,14707513,1600124
"You're on Your Own, Kid",Taylor Swift,29559202,899732
Angel of My Dreams,Jade,4835094,242049
making the bed,Olivia Rodrigo,13224004,707594
Guilty as Sin?,Taylor Swift,20387040,617389
Knockin' on Heaven's Door,Bob Dylan,9676751,1310012
Parachute,Hayley Williams,858939,123485
real man,beabadoobee,9119053,685381
Deceptacon,Le Tigre,11256590,1193812
7 rings,Ariana Grande,26199930,1534990
Apple,Charli xcx,21030758,1318632
Roommates,Malcolm Todd,4323243,367450
NUEVAYoL,Bad Bunny,6158157,540903
Taking What's Not Yours,TV Girl,10884571,795809
Love Me,Lil Wayne,11497558,926399
Motion Sickness,Phoebe Bridgers,25433991,1222800
i wish i knew how to quit you,sombr,631734,185185
Dirty Harry (feat. Bootie Brown),Gorillaz,830324,258304
Don't Look Back In Anger - Remastered,Oasis,8827568,914316
Let the Light In (feat. Father John Misty),Lana Del Rey,20797197,1055917
"yes, and?",Ariana Grande,23821702,1040148
Swim,Chase Atlantic,14857643,1004147
the way things go,beabadoobee,12140306,771909
Dark Thoughts,Lil Tecca,6669005,464989
Moonlight,Kali Uchis,18186921,1287296
"not a lot, just forever",Adrianne Lenker,10958132,611773
Wonderwall - Remastered,Oasis,10529403,1301549
Eventually,Tame Impala,17025922,1448059
Young and Beautiful,Lana Del Rey,23967754,1903113
MUTT,Leon Thomas,5191472,504836
Brain Stew,Green Day,10249099,1212839
No Role Modelz,J. Cole,23225443,1504218
Velvet Ring - 2023 Remaster,Big Thief,6794352,578760
goosebumps,Travis Scott,21342446,1567639
Welcome to the Black Parade,My Chemical Romance,22173569,1977615
Sky,Playboi Carti,22722610,1200800
Father Stretch My Hands Pt. 1,Kanye West,33392730,1607086
Entombed,Deftones,9165168,717730
The Cut That Always Bleeds,Conan Gray,8983018,626090
nuts,Lil Peep,14212756,642313
Self Control,Frank Ocean,29717939,1238422
Golden Brown,The Stranglers,9570372,1100898
House of Balloons / Glass Table Girls,The Weeknd,10275390,848861
The Winner Takes It All,ABBA,9338638,1198427
Hello?,Clairo,8260718,795019
Hard Times,Paramore,16105189,1269189
I Know You,Faye Webster,12595841,819948
American Idiot,Green Day,21825425,2372093
Not You Too (feat. Chris Brown),Drake,7303538,500432
eternal sunshine,Ariana Grande,15140872,651862
Video Games,Lana Del Rey,28816879,2058969
Scott Street,Phoebe Bridgers,16766245,929296
The Ghost of You,My Chemical Romance,16529778,1260539
